AGNO;RBD;DGV_RBD;NOM_RBD;LET_RBD;NUM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_05;TRA_HOM_06;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO
2008;25;6;ESCUELA  CENTENARIO;D;91;15;15101;ARICA;2;0;110;31;27;23;22;30;39;40;25;237;24;30;38;45;10;29;27;47;250;0;1;0;2;2;0;0;0;5;2;0;1;2;0;1;1;0;7;1;0;0;0;0;0;2;1;4;0;0;0;1;0;0;0;0;1;0;3;0;1;1;1;1;0;7;1;3;1;2;0;2;2;1;12
2008;26;4;ESCUELA  REPUBLICA ARGENTINA;E;1;15;15101;ARICA;2;0;110;14;17;15;14;23;18;14;29;144;17;7;13;14;11;14;17;31;124;4;1;0;0;1;0;0;0;6;0;0;1;0;0;0;1;0;2;2;1;2;0;1;1;0;1;8;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;2;0;5;0;1;0;0;2;0;0;1;4
2008;27;2;ESCUELA  ESMERALDA;E;5;15;15101;ARICA;2;0;110;12;14;9;18;18;18;17;10;116;4;7;11;7;15;16;12;19;91;0;0;0;0;0;1;1;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;2;1;8;0;1;1;0;0;0;0;0;2
2008;28;0;ESCUELA  RICARDO SILVA ARRIAGADA;E;15;15;15101;ARICA;2;0;110;11;19;21;21;33;30;36;36;207;13;13;19;13;29;26;27;26;166;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;2;0;0;1;0;0;0;0;1;2;0;0;1;1;1;2;1;0;6;0;0;0;1;0;1;0;0;2
2008;28;0;ESCUELA  RICARDO SILVA ARRIAGADA;E;15;15;15101;ARICA;2;0;160;0;1;7;19;0;0;0;0;27;0;3;7;21;0;0;0;0;31;0;1;0;2;0;0;0;0;3;0;0;6;0;0;0;0;0;6;0;3;5;17;0;0;0;0;25;0;3;3;11;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2008;28;0;ESCUELA  RICARDO SILVA ARRIAGADA;E;15;15;15101;ARICA;2;0;361;0;0;47;0;0;0;0;0;47;0;0;36;0;0;0;0;0;36;0;0;23;0;0;0;0;0;23;0;0;39;0;0;0;0;0;39;0;0;15;0;0;0;0;0;15;0;0;20;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
2008;28;0;ESCUELA  RICARDO SILVA ARRIAGADA;E;15;15;15101;ARICA;2;0;363;13;0;0;0;0;0;0;0;13;18;0;0;0;0;0;0;0;18;17;0;0;0;0;0;0;0;17;13;0;0;0;0;0;0;0;13;17;0;0;0;0;0;0;0;17;13;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
2008;29;9;ESCUELA AMERICA;E;26;15;15101;ARICA;2;0;110;24;24;19;30;34;36;23;38;228;13;21;24;27;30;35;36;25;211;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;2;0;0;1;1;2;0;1;0;5;0;0;0;0;0;0;0;1;1;3;0;0;1;0;1;1;3;9;1;0;2;1;0;0;0;1;5
2008;31;0;ESCUELA  DARIO SALAS DIAZ;F;3;15;15101;ARICA;2;1;110;16;23;14;6;10;14;14;18;115;20;16;11;17;15;19;21;18;137;0;2;2;0;0;2;2;0;8;0;0;0;0;1;2;0;0;3;0;2;0;0;0;1;0;0;3;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2008;32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;F;25;15;15101;ARICA;2;1;110;14;11;14;13;14;16;17;11;110;15;14;15;18;12;15;7;10;106;3;0;1;0;0;0;1;1;6;2;1;3;0;0;0;2;0;8;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;1;5;2;0;0;1;1;0;0;0;4
2008;32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;F;25;15;15101;ARICA;2;1;610;0;0;4;9;0;0;0;0;13;0;0;7;7;0;0;0;0;14;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
2008;32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;F;25;15;15101;ARICA;2;1;710;12;18;8;11;0;0;0;0;49;12;12;5;6;0;0;0;0;35;4;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;2;6;2;0;0;0;0;0;0;8;5;4;2;2;0;0;0;0;13;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2008;33;7;ESCUELA CARLOS CONDELL DE LA HAZA;G;8;15;15101;ARICA;2;1;110;4;6;4;5;7;12;5;6;49;4;7;6;3;6;6;4;6;42;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2008;35;3;ESCUELA GRAL. MANUEL BAQUEDANO;G;20;15;15101;ARICA;2;1;110;7;6;4;12;4;3;0;0;36;8;4;3;4;4;1;0;0;24;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;2
2008;36;1;ESCUELA  IGNACIO CARRERA PINTO;G;27;15;15101;ARICA;2;1;110;13;18;16;18;24;17;16;16;138;16;10;15;18;10;11;14;13;107;1;0;1;0;0;0;0;0;2;2;0;0;0;0;1;0;0;3;1;0;0;0;1;0;0;0;2;0;1;0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2
2008;38;8;ESCUELA ESPAÑA;G;28;15;15101;ARICA;2;1;110;18;14;18;19;17;24;11;14;135;21;21;16;14;9;11;22;10;124;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;3;0;0;0;1;0;0;1;0;2
2008;39;6;ESCUELA  PAMPA ALGODONAL;G;31;15;15101;ARICA;2;1;110;2;2;3;3;2;2;0;0;14;2;2;2;5;4;1;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2008;41;8;ESCUELA VALLE DE CHACA;G;55;15;15101;ARICA;2;1;110;0;1;0;2;0;1;0;0;4;1;1;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2008;42;6;ESCUELA  MOLINOS LLUTA;G;117;15;15101;ARICA;2;1;110;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2008;45;0;COLEGIO ITALIANO SANTA ANA;.;0;15;15101;ARICA;3;0;110;0;0;0;0;0;0;0;0;0;78;79;88;85;79;87;82;86;664;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;3;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;1;3;1;1;1;2;1;5;15
2008;45;0;COLEGIO ITALIANO SANTA ANA;.;0;15;15101;ARICA;3;0;310;0;0;0;0;0;0;0;0;0;70;54;54;63;0;0;0;0;241;0;0;0;0;0;0;0;0;0;3;1;2;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;6;4;1;0;0;0;0;0;11
